ts,btc,eth,ltc,xrp,bch,doge,xlm,xmr,etc,ada,link,trx,dash,zec,eos,xem,dcr,xvg,btg,bsv,neo,xtz,algo,zrx,bat,rep,knc,omg,snx,mkr,comp,ftt
1292716800,0.2401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292803200,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292889600,0.241436002337814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292976000,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293062400,0.249970127995324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293148800,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293235200,0.2499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293321600,0.264962127410871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293408000,0.264785388661601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293494400,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293580800,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293667200,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293753600,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293840000,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293926400,0.29997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294012800,0.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294099200,0.29895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294185600,0.298916302162478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294272000,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294358400,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294444800,0.3229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294531200,0.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294617600,0.32659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294704000,0.32659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294790400,0.318799621274109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294876800,0.3176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294963200,0.399990005844535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295049600,0.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295136000,0.38679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295222400,0.3495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295308800,0.31299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295395200,0.31299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295481600,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295568000,0.41991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295654400,0.44003552893045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295740800,0.4424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295827200,0.4199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295913600,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296000000,0.415085129748685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296086400,0.4212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296172800,0.444484044418469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296259200,0.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296345600,0.477142033898305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296432000,0.525136870251315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296518400,0.707510116890707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296604800,0.725434821741671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296691200,0.693898367621274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296777600,0.810958971361777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296864000,0.911671477498539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296950400,0.898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297036800,0.889421369959088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297123200,0.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297209600,1.01605024547049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297296000,0.979652963179427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297382400,1.05406945353594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297468800,1.07870328404442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297555200,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297641600,1.07001262419638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297728000,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
