ts,btc,eth,ltc,xrp,bch,doge,xlm,xmr,etc,ada,link,trx
1302825600,0.983673136762127,,,,,,,,,,,
1302912000,1.04663285797779,,,,,,,,,,,
1302998400,1.09812209789597,,,,,,,,,,,
1303084800,1.14943331151373,,,,,,,,,,,
1303171200,1.18516222092344,,,,,,,,,,,
1303257600,1.14212598480421,,,,,,,,,,,
1303344000,1.20733887200468,,,,,,,,,,,
1303430400,1.40450508182349,,,,,,,,,,,
1303516800,1.82885230099357,,,,,,,,,,,
1303603200,1.63198421975453,,,,,,,,,,,
1303689600,1.56448363530099,,,,,,,,,,,
1303776000,1.77084089012274,,,,,,,,,,,
1303862400,1.9031759585038,,,,,,,,,,,
1303948800,2.28574446580947,,,,,,,,,,,
1304035200,2.85060509000585,,,,,,,,,,,
1304121600,3.5,,,,,,,,,,,
1304208000,3.0942275534775,,,,,,,,,,,
1304294400,3.2,,,,,,,,,,,
1304380800,3.36058570368206,,,,,,,,,,,
1304467200,3.40867304734074,,,,,,,,,,,
1304553600,3.34373668439509,,,,,,,,,,,
1304640000,3.45507558445354,,,,,,,,,,,
1304726400,3.64126297779077,,,,,,,,,,,
1304812800,3.84866837697253,,,,,,,,,,,
1304899200,3.80408958211572,,,,,,,,,,,
1304985600,5.65166700233781,,,,,,,,,,,
1305072000,5.43975104383402,,,,,,,,,,,
1305158400,6.3348786943308,,,,,,,,,,,
1305244800,8.13903486732905,,,,,,,,,,,
1305331200,7.00724382933957,,,,,,,,,,,
1305417600,6.92492484453536,,,,,,,,,,,
1305504000,7.88514074517826,,,,,,,,,,,
1305590400,7.25719954061952,,,,,,,,,,,
1305676800,6.76316336236119,,,,,,,,,,,
1305763200,6.89014363237873,,,,,,,,,,,
1305849600,5.61809621858562,,,,,,,,,,,
1305936000,6.08480066744594,,,,,,,,,,,
1306022400,6.71195603974284,,,,,,,,,,,
1306108800,7.06525678375219,,,,,,,,,,,
1306195200,7.40266058211573,,,,,,,,,,,
1306281600,8.56928963705436,,,,,,,,,,,
1306368000,8.78215543424898,,,,,,,,,,,
1306454400,8.52865846814728,,,,,,,,,,,
1306540800,8.34926911981298,,,,,,,,,,,
1306627200,8.40095347223846,,,,,,,,,,,
1306713600,8.77934246464056,,,,,,,,,,,
1306800000,8.72157642197545,,,,,,,,,,,
1306886400,9.62377723202805,,,,,,,,,,,
1306972800,10.7027602279369,,,,,,,,,,,
1307059200,14.2646467738165,,,,,,,,,,,
1307145600,18.3127387258913,,,,,,,,,,,
1307232000,16.5433423962595,,,,,,,,,,,
1307318400,18.4020986440678,,,,,,,,,,,
1307404800,23.2378784628872,,,,,,,,,,,
1307491200,29.0299213267095,,,,,,,,,,,
1307577600,28.7905440181181,,,,,,,,,,,
1307664000,24.0493992285213,,,,,,,,,,,
1307750400,14.7497466277031,,,,,,,,,,,
1307836800,18.8501447311514,,,,,,,,,,,
1307923200,19.5423291145529,,,,,,,,,,,
1308009600,19.2577355055523,,,,,,,,,,,
1308096000,19.4641426241964,,,,,,,,,,,
1308182400,17.9293625423729,,,,,,,,,,,
1308268800,15.4363689129164,,,,,,,,,,,
1308355200,16.8754045353594,,,,,,,,,,,
1308441600,17.5107167913501,,,,,,,,,,,
1308528000,17.5107167913501,,,,,,,,,,,
1308614400,17.5107167913501,,,,,,,,,,,
1308700800,17.5107167913501,,,,,,,,,,,
1308787200,17.5107167913501,,,,,,,,,,,
1308873600,17.5107167913501,,,,,,,,,,,
1308960000,17.5107167913501,,,,,,,,,,,
1309046400,16.3613420157802,,,,,,,,,,,
1309132800,16.7522858132671,,,,,,,,,,,
1309219200,16.9618353071303,,,,,,,,,,,
1309305600,16.8545683179427,,,,,,,,,,,
1309392000,16.1852627808299,,,,,,,,,,,
1309478400,15.4203573991818,,,,,,,,,,,
1309564800,15.38284406955,,,,,,,,,,,
1309651200,15.4575505604909,,,,,,,,,,,
1309737600,13.8527968123904,,,,,,,,,,,
1309824000,12.9648177147867,,,,,,,,,,,
1309910400,14.7147835832846,,,,,,,,,,,
1309996800,14.7972891613092,,,,,,,,,,,
1310083200,14.2990376969608,,,,,,,,,,,
1310169600,14.3815006697838,,,,,,,,,,,
1310256000,14.6229375511397,,,,,,,,,,,
1310342400,14.3101554330801,,,,,,,,,,,
1310428800,14.0212726215663,,,,,,,,,,,
1310515200,13.9714545225015,,,,,,,,,,,
1310601600,13.997974547633,,,,,,,,,,,
1310688000,13.8063904056108,,,,,,,,,,,
1310774400,13.7130792992402,,,,,,,,,,,
1310860800,13.2581353109293,,,,,,,,,,,
1310947200,13.6305212504383,,,,,,,,,,,
1311033600,13.8247948386908,,,,,,,,,,,
1311120000,13.6783305920514,,,,,,,,,,,
1311206400,13.6118084418469,,,,,,,,,,,
1311292800,13.6985473310929,,,,,,,,,,,
1311379200,13.6817183424898,,,,,,,,,,,
1311465600,13.992515176505,,,,,,,,,,,
1311552000,14.0334253787259,,,,,,,,,,,
1311638400,13.8780323232028,,,,,,,,,,,
1311724800,13.878224755114,,,,,,,,,,,
1311811200,13.4915910756867,,,,,,,,,,,
1311897600,13.5123163901227,,,,,,,,,,,
1311984000,13.5402806738749,,,,,,,,,,,
1312070400,13.3729061022794,,,,,,,,,,,
1312156800,13.0191138468732,,,,,,,,,,,
1312243200,12.2141564389246,,,,,,,,,,,
1312329600,9.28635691350088,,,,,,,,,,,
1312416000,10.7685037481005,,,,,,,,,,,
1312502400,9.73015395967271,,,,,,,,,,,
1312588800,6.964169735827,,,,,,,,,,,
1312675200,8.50179329222677,,,,,,,,,,,
1312761600,7.77533763793104,,,,,,,,,,,
1312848000,9.80249948100526,,,,,,,,,,,
1312934400,10.0512531274109,,,,,,,,,,,
1313020800,9.43841299473992,,,,,,,,,,,
1313107200,9.45299328521333,,,,,,,,,,,
1313193600,10.0040247445938,,,,,,,,,,,
1313280000,10.8068207665108,,,,,,,,,,,
1313366400,11.1306965499708,,,,,,,,,,,
1313452800,10.9919655669199,,,,,,,,,,,
1313539200,10.9639640561075,,,,,,,,,,,
